order_item_id,order_id,quantity,container_id
1,1,1,6
2,1,1,1
3,2,1,6
4,3,1,1
5,4,1,12
6,4,1,13
7,5,1,2
8,6,1,11
9,7,1,4
10,7,1,2
11,8,1,5
12,8,1,11
13,9,1,5
14,9,1,5
15,10,1,4
16,10,1,3
17,11,1,2
18,11,1,10
19,12,1,6
20,12,1,5
21,13,1,5
22,13,1,5
23,14,1,8
24,15,1,11
25,15,1,9
26,16,1,2
27,16,1,4
28,17,1,1
29,17,1,3
30,18,1,12
31,18,1,3
32,19,1,3
33,19,1,5
34,20,1,3
35,21,1,14
36,21,1,2
37,22,1,6
38,23,1,7
39,23,1,1
40,24,1,5
41,24,1,9
42,25,1,3
43,25,1,6
44,26,1,3
45,27,1,10
46,27,1,12
47,28,1,1
48,28,1,2
49,29,1,4
50,29,1,14
51,30,1,4
52,30,1,8
53,31,1,3
54,32,1,5
55,33,1,6
56,33,1,2
57,34,1,5
58,35,1,3
59,36,1,5
60,37,1,7
61,37,1,7
62,38,1,10
63,38,1,11
64,39,1,6
65,39,1,7
66,40,1,4
67,41,1,1
68,42,1,3
69,43,1,7
70,43,1,13
71,44,1,8
72,44,1,3
73,45,1,2
74,45,1,1
75,46,1,4
76,47,1,2
77,48,1,1
78,48,1,8
79,49,1,4
80,50,1,6
81,50,1,5
82,51,1,4
83,51,1,6
84,52,1,2
85,53,1,3
86,54,1,3
87,55,1,7
88,55,1,9
89,56,1,9
90,56,1,14
91,57,1,10
92,57,1,5
93,58,1,11
94,58,1,5
95,59,1,3
96,59,1,12
97,60,1,2
98,61,1,1
99,61,1,5
100,62,1,4
101,63,1,5
102,64,1,11
103,65,1,7
104,65,1,5
105,66,1,4
106,67,1,8
107,68,1,3
108,68,1,10
109,69,1,11
110,69,1,11
111,70,1,5
112,71,1,8
113,71,1,11
114,72,1,3
115,72,1,2
116,73,1,4
117,73,1,1
118,74,1,4
119,74,1,5
120,75,1,4
121,76,1,9
122,76,1,5
123,77,1,9
124,77,1,14
125,78,1,8
126,79,1,2
127,80,1,6
128,80,1,3
129,81,1,4
130,81,1,4
131,82,1,5
132,82,1,4
133,83,1,5
134,84,1,8
135,84,1,1
136,85,1,6
137,85,1,2
138,86,1,2
139,86,1,2
140,87,1,4
141,88,1,1
142,89,1,10
143,89,1,11
144,90,1,8
145,90,1,2
146,91,1,7
147,92,1,5
148,92,1,2
149,93,1,2
150,93,1,3
151,94,1,5
152,94,1,8
153,95,1,6
154,95,1,2
155,96,1,10
156,96,1,1
157,97,1,7
158,97,1,14
159,98,1,13
160,98,1,5
161,99,1,9
162,100,1,4
163,100,1,5
164,101,1,5
165,102,1,3
166,102,1,9
167,103,1,4
168,103,1,3
169,104,1,2
170,105,1,8
171,106,1,9
172,107,1,3
173,107,1,5
174,108,1,5
175,108,1,11
176,109,1,2
177,109,1,10
178,110,1,2
179,111,1,2
180,111,1,7
181,112,1,4
182,113,1,5
183,114,1,5
184,115,1,5
185,115,1,4
186,116,1,8
187,116,1,1
188,117,1,1
189,117,1,2
190,118,1,2
191,118,1,9
192,119,1,8
193,119,1,6
194,120,1,8
195,121,1,5
196,121,1,2
197,122,1,13
198,123,1,1
199,123,1,14
200,124,1,2
201,125,1,5
202,125,1,1
203,126,1,2
204,127,1,3
205,127,1,6
206,128,1,5
207,129,1,7
208,130,1,9
209,130,1,4
210,131,1,1
211,131,1,1
212,132,1,11
213,132,1,6
214,133,1,3
215,134,1,8
216,134,1,2
217,135,1,7
218,135,1,4
219,136,1,7
220,137,1,2
221,137,1,5
222,138,1,3
223,139,1,11
224,139,1,4
225,140,1,6
226,141,1,7
227,142,1,12
228,143,1,3
229,144,1,5
230,145,1,7
231,145,1,5
232,146,1,13
233,146,1,1
234,147,1,8
235,148,1,5
236,148,1,10
237,149,1,5
238,149,1,2
239,150,1,3
240,150,1,2
241,151,1,9
242,152,1,5
243,153,1,4
244,154,1,5
245,154,1,4
246,155,1,12
247,155,1,1
248,156,1,5
249,157,1,8
250,157,1,2
251,158,1,3
252,159,1,3
253,160,1,2
254,160,1,12
255,161,1,4
256,161,1,1
257,162,1,5
258,163,1,5
259,163,1,14
260,164,1,1
261,165,1,10
262,166,1,9
263,166,1,6
264,167,1,1
265,168,1,11
266,169,1,10
267,169,1,5
268,170,1,3
269,171,1,2
270,171,1,7
271,172,1,9
272,173,1,2
273,174,1,2
274,175,1,4
275,176,1,5
276,177,1,12
277,177,1,7
278,178,1,4
279,178,1,1
280,179,1,9
281,180,1,2
282,180,1,4
283,181,1,3
284,182,1,1
285,182,1,7
286,183,1,14
287,184,1,8
288,185,1,5
289,185,1,4
290,186,1,8
291,186,1,6
292,187,1,2
293,187,1,2
294,188,1,3
295,189,1,6
296,190,1,5
297,191,1,7
298,191,1,5
299,192,1,1
300,192,1,1
301,193,1,1
302,193,1,6
303,194,1,12
304,194,1,12
305,195,1,9
306,196,1,5
307,196,1,1
308,197,1,2
309,198,1,1
310,199,1,3
311,199,1,5
312,200,1,2
313,200,1,12
314,201,1,8
315,201,1,5
316,202,1,6
317,202,1,5
318,203,1,7
319,204,1,6
320,204,1,6
321,205,1,6
322,206,1,3
323,207,1,1
324,207,1,2
325,208,1,5
326,208,1,12
327,209,1,5
328,210,1,5
329,210,1,1
330,211,1,2
331,211,1,1
332,212,1,1
333,213,1,4
334,214,1,2
335,214,1,6
336,215,1,1
337,215,1,2
338,216,1,6
339,217,1,6
340,217,1,3
341,218,1,11
342,218,1,4
343,219,1,9
344,220,1,6
345,220,1,5
